id,airport_from,airport_to,distance_km,flight_time_hr
1,AEG,KDI,3495,4.33
2,AEG,WUB,2716,3.38
3,AEG,MLG,1857,2.28
4,AEG,KRC,2266,2.7
5,AEG,YIA,2510,3.09
6,AEG,GLX,847,1.06
7,AEG,AHI,3676,4.78
8,AEG,DJB,167,0.2
9,AEG,TNB,2024,2.42
10,AEG,MOF,2045,2.53
11,AEG,BJG,3656,4.64
12,AEG,TMX,3098,3.77
13,AEG,TJC,3688,4.92
14,AEG,BTJ,3291,3.9
15,AEG,PNK,3126,3.84
16,AEG,OTI,3105,3.69
17,AEG,GAV,1508,1.82
18,AEG,PCB,3070,3.99
19,AEG,PDG,1605,1.95
20,AEG,BXM,2311,2.98
21,AEG,BKS,2474,3.23
22,AEG,RAQ,977,1.26
23,AEG,AYW,1283,1.67
24,AEG,LAH,1031,1.21
25,AEG,SHE,830,1.05
26,AEG,KOD,809,1.04
27,AEG,TRT,3183,4.11
28,AEG,ZRI,3159,3.97
29,AEG,TKG,3458,4.07
30,AEG,KNG,3699,4.47
31,AEG,JBB,676,0.83
32,AEG,MKF,2132,2.67
33,AEG,MTW,2207,2.83
34,AEG,IUL,2193,2.75
35,AEG,LMU,3654,4.51
36,AEG,RKI,161,0.19
37,AEG,GEB,1030,1.28
38,AEG,KEI,2527,3.24
39,AEG,SEQ,3427,4.46
40,AEG,AMQ,3414,4.03
41,AEG,BJW,1195,1.47
42,AEG,PGK,2003,2.55
43,AEG,KMR,906,1.15
44,AEG,KLK,1080,1.33
45,AEG,DUM,301,0.36
46,AEG,LBW,2813,3.58
47,AEG,KJT,2147,2.62
48,AEG,LII,1554,1.87
49,AEG,LPU,1036,1.29
50,AEG,MKQ,3191,4.02
51,LSR,TJQ,3310,4.15
52,LSR,MAP,2106,2.65
53,LSR,PLM,1405,1.72
54,LSR,LYK,2947,3.87
55,LSR,LSE,196,0.26
56,LSR,PKY,2490,2.99
57,LSR,KXB,3129,3.71
58,LSR,WGP,1505,1.91
59,LSR,TRK,2551,3.17
60,LSR,MRB,1125,1.33
61,LSR,SUP,3040,3.79
62,LSR,NKD,3424,4.1
63,LSR,FOO,2081,2.51
64,LSR,TJB,1959,2.4
65,LSR,PPR,2377,3.13
66,LSR,TXE,2536,3.07
67,LSR,YIA,2544,3.11
68,LSR,BJK,1178,1.39
69,LSR,LLN,2846,3.63
70,LSR,CXP,778,0.95
71,LSR,PSU,259,0.33
72,LSR,PKU,608,0.73
73,LSR,INX,2482,3.08
74,LSR,KAZ,1365,1.67
75,LSR,OTI,635,0.78
76,LSR,ABU,391,0.47
77,LSR,AKM,441,0.55
78,LSR,AAP,1427,1.85
79,LSR,WRR,489,0.64
80,LSR,BXM,338,0.42
81,LSR,KBU,3280,4.12
82,LSR,BDJ,2609,3.39
83,LSR,LUV,1601,2.03
84,LSR,BJW,1761,2.13
85,LSR,TMH,1303,1.61
86,LSR,TTE,724,0.95
87,LSR,TMX,763,0.97
88,LSR,PXA,2515,2.98
89,LSR,LII,2696,3.49
90,LSR,BXG,2901,3.81
91,LSR,TIM,390,0.51
92,LSR,DUM,3392,4.23
93,LSR,TNB,3391,4.31
94,LSR,RTU,1015,1.24
95,LSR,GYO,421,0.54
96,LSR,GNS,2178,2.88
97,LSR,OKQ,1119,1.47
98,LSR,MKW,1656,2.13
99,LSR,MPC,1105,1.39
100,LSR,BDO,891,1.14
101,SEQ,AYW,938,1.12
102,SEQ,TNJ,1764,2.34
103,SEQ,SOQ,1817,2.36
104,SEQ,JOG,3699,4.65
105,SEQ,ENE,1374,1.78
106,SEQ,WET,2353,3.11
107,SEQ,DPS,1221,1.63
108,SEQ,PCB,3660,4.35
109,SEQ,SXK,523,0.64
110,SEQ,LBJ,3122,3.82
111,SEQ,SAU,1573,1.87
112,SEQ,RJM,734,0.87
113,SEQ,TIM,1743,2.17
114,SEQ,TSY,1354,1.62
115,SEQ,KOX,3262,4.19
116,SEQ,BXW,898,1.07
117,SEQ,TRT,654,0.87
118,SEQ,AGD,1103,1.33
119,SEQ,MPC,1998,2.59
120,SEQ,PKU,2164,2.77
121,SEQ,SBG,1094,1.37
122,SEQ,BDJ,2474,3.12
123,SEQ,LSW,1061,1.37
124,SEQ,KSR,1470,1.91
125,SEQ,MAL,1198,1.57
126,SEQ,RPI,2992,3.59
127,SEQ,PPR,2520,3.21
128,SEQ,OTI,1281,1.6
129,SEQ,TMC,220,0.28
130,SEQ,BTJ,2675,3.37
131,SEQ,BJK,2027,2.69
132,SEQ,WASS,3524,4.47
133,SEQ,ZEG,3117,3.79
134,SEQ,LYK,1925,2.48
135,SEQ,WRR,2627,3.29
136,SEQ,TRK,2978,3.56
137,SEQ,UGU,3189,3.93
138,SEQ,MXB,3603,4.54
139,SEQ,KJX,2161,2.86
140,SEQ,MAP,2089,2.6
