id,origin,destination,depart_date,best_price
1,TJG,KSR,2023-04-25,2310582.0
2,AAS,TPK,2023-04-04,2310582.0
3,PSU,NKD,2023-04-27,2310582.0
4,PDG,TMB,2023-04-29,2310582.0
5,BUW,CPF,2023-04-01,2316313.0
6,BTW,ONI,2023-04-24,2474980.0
7,SOQ,RPI,2023-04-02,2474980.0
8,LMU,OJU,2023-04-03,2474980.0
9,TJG,WHI,2023-04-26,2474980.0
10,UOL,BTH,2023-04-09,2474980.0
11,RJM,NTX,2023-04-05,2474980.0
12,MKQ,BIK,2023-04-28,2474980.0
13,KBU,BPN,2023-04-06,2474980.0
14,KEQ,OKQ,2023-04-07,2474980.0
15,LPU,NPO,2023-04-08,2474980.0
16,MOH,WUB,2023-04-12,2474980.0
17,SQG,MEQ,2023-04-13,2474980.0
18,LBW,MRB,2023-04-30,2474980.0
19,TMC,NDA,2023-04-10,2474980.0
20,BRG,NBX,2023-04-11,2474980.0
21,BMU,BMU,2023-04-23,2598280.0
22,KWB,SUP,2023-04-16,2894120.0
23,LSR,LOP,2023-04-17,2894120.0
24,LPU,MPC,2023-04-18,2894120.0
25,WET,ELR,2023-04-19,2894120.0
26,WUB,KJX,2023-04-20,2894120.0
27,PKU,MTW,2023-04-21,2894120.0
28,LUW,ELR,2023-04-22,2894120.0
29,EWI,YIA,2023-04-14,2894120.0
30,DRH,SUP,2023-04-15,2894120.0
31,LMU,SRG,2023-04-16,2248080.0
32,LUV,AKM,2023-04-30,2248080.0
33,LLN,PWL,2023-04-18,2302380.0
34,SOC,IUL,2023-04-26,2339200.0
35,SBG,WMX,2023-04-29,2505580.0
36,WET,TRT,2023-04-09,2507780.0
37,RTU,UGU,2023-04-15,2507780.0
38,BWX,BTO,2023-04-17,2573280.0
39,OKQ,TJQ,2023-04-03,2573280.0
40,SUB,MKW,2023-04-25,2573280.0
41,NAM,TTE,2023-04-05,2573280.0
42,OKL,SKO,2023-04-27,2573280.0
43,DRH,KRC,2023-04-06,2573280.0
44,LHI,SIQ,2023-04-28,2573280.0
45,PDG,BJK,2023-04-08,2573280.0
46,NBX,KOX,2023-04-01,2632200.0
47,NBX,AGD,2023-04-24,2639880.0
48,TTE,RDE,2023-04-10,2764430.0
49,NBX,RUF,2023-04-19,2767600.0
50,BTO,BXD,2023-04-12,2869250.0
51,BJG,SHE,2023-04-04,2934650.0
52,HLP,BUI,2023-04-13,2934650.0
53,JKT,BXM,2023-04-14,3161830.0
54,BRG,BMU,2023-04-23,3674950.0
55,ZRI,NTI,2023-04-20,3674950.0
56,BTO,WET,2023-04-21,3674950.0
57,ABU,ARD,2023-04-22,3674950.0
58,LMU,SOC,2023-04-07,3674950.0
59,MTW,TBX,2023-04-02,3694830.0
60,KAZ,RTU,2023-04-24,628391.0
61,KJX,TNJ,2023-04-27,628391.0
62,MJU,BXM,2023-04-28,628391.0
63,RTU,GLX,2023-04-25,737711.0
64,KJT,MPC,2023-04-16,1347671.0
65,KNO,ILG,2023-04-17,1347671.0
66,KRC,BNE,2023-04-18,1347671.0
67,GHS,RUF,2023-04-19,1347671.0
68,KWB,KOD,2023-04-23,1347671.0
69,LUW,SQN,2023-04-02,1347671.0
70,KOD,SMQ,2023-04-03,1347671.0
71,NNX,LBJ,2023-04-26,1347671.0
72,KSR,TTR,2023-04-04,1347671.0
73,DRH,TPK,2023-04-20,1347671.0
74,WASS,OJU,2023-04-21,1347671.0
75,LAH,CGK,2023-04-22,1347671.0
76,PGK,AKQ,2023-04-09,1347671.0
77,TTE,LLG,2023-04-05,1347671.0
78,LLG,BJG,2023-04-06,1347671.0
