order_id,customer_id,order_date,origin,destination,depart_date,price_per_passenger,num_passenger,total_price,status,flight_id
ab03d6db-873c-460c-9e80-adcd929d1a13,35c9bb4c-2659-4e2d-ab66-e2126c29360f,4/25/2025 01:54:19,KJX,WET,2023-05-07,864166,3,2334313,cancelled,15796
0acca81a-6a5d-4dd7-b34e-3a107cc73565,8e5d1fe6-ee10-4896-a8f1-5f8db0ac86b9,12/31/2024 00:44:08,LUV,BNE,2023-04-07,1340879,1,1882503,pending,861
49760520-57cc-4954-ab28-e11c407a782b,c9eba774-02a5-4c59-a6ba-c87156c9b4f5,2/14/2025 04:32:21,LUW,MKF,2023-03-12,859869,1,1466713,confirmed,38159
b5baf01c-b467-4daa-a029-26a8ca81c508,d6b27de7-1da0-4c43-80cb-d7c44eac5461,4/24/2025 20:59:53,DRH,BKS,2023-07-22,1047249,3,1732273,cancelled,44733
b077a514-e295-4109-af6a-0c70ae3629e8,5ea0858a-419b-4c5c-8585-71ad6bf10110,3/21/2025 17:53:05,DOB,KWB,2023-05-03,789175,3,1519336,confirmed,11285
553f7de9-e7c8-49ba-873f-85202ee5ee9e,17102f75-2e44-437f-8828-7a81ae2a7bdc,1/9/2025 22:36:55,SOQ,KJX,2023-05-04,930380,2,2368620,cancelled,6266
429ca03d-79fa-4008-928c-4811a3b89d3a,70379ea9-f00f-4eb7-a854-82b45be894d3,4/9/2025 09:48:43,PDG,GEB,2023-04-22,1529002,3,1859334,pending,16851
2bd86011-8cb7-43b6-84b8-35c2087bc73d,04ccfda9-03cd-4496-a714-ad96ade1670b,2/17/2025 06:05:32,LSW,BJG,2023-07-05,1482866,1,2584596,cancelled,37195
61238f12-6b1c-4ab4-99fb-c3fc1bc960b5,86589e3a-e40e-40e7-8314-c115df919f5d,12/13/2024 21:32:14,ENE,OKQ,2023-05-28,1283780,1,2102742,confirmed,21963
3ab014ad-aace-4ad5-bd3d-0843799e5541,9521728b-fbe1-4d97-b553-38f1e7a26268,5/18/2025 11:56:52,PSJ,BNE,2023-05-10,1296232,1,2571078,pending,44132
2468accb-08f6-4a5e-a0f5-ca8af884eb16,afcc4d8c-64f6-482f-a4b2-9a05d3ebb914,12/25/2024 03:37:07,LOP,BDJ,2023-06-11,707736,2,2390512,confirmed,16024
e9732b15-994b-48ca-abb0-9da0b62f9cd7,bc3c2d85-dd90-4793-aedb-f02143f61b2e,5/29/2025 04:43:04,DEX,PKY,2023-06-28,1240511,1,2329932,confirmed,41091
d6532d11-a37d-4a93-a574-27102082e45c,19377dd8-c230-4a1c-ba4d-194f3cf1e146,2/16/2025 10:20:11,DRH,TJB,2023-04-25,1550192,3,2415385,cancelled,1686
e79801c1-0a88-4f88-9d2c-1be08d18947c,116a432d-bb9b-4246-8430-c23225c410ad,3/20/2025 07:27:57,MDP,SNX,2023-04-28,1178773,3,1982747,confirmed,770
3c6975ee-998c-4baa-9882-af821623e4dd,9225c56f-4a77-4f29-9952-99f29a39464f,1/8/2025 14:44:18,MTW,MDP,2023-04-20,1024475,3,1457177,pending,2434
adf736e8-24a6-4980-8c73-b7e49824cd04,71cb0ffe-6061-4685-8a7f-e7abcb8e2fbc,5/7/2025 21:12:45,ENE,NNX,2023-03-20,1161267,2,1858785,pending,5312
855f1bcd-9246-4d29-9b67-0478b34f1c90,57205b62-e872-4ed5-a965-a7d61618ba82,4/23/2025 19:15:29,LLG,CXP,2023-04-01,914080,2,1479551,pending,37820
31c98ee3-4328-4ed8-ac55-d1d94ab55884,d5b5577d-5319-4c43-88b8-0982d9f71c19,2/19/2025 16:15:10,RAQ,MLG,2023-07-03,974208,3,2250018,confirmed,39189
e017bdb1-7238-4c52-9b89-4a2a9b6ff26f,2e70a6a9-1d3b-49e4-b3c4-c38ec789e379,3/26/2025 03:02:15,AYW,KSR,2023-04-06,885410,3,2050642,pending,17569
